,,,,,,
,,,,,,
,,,,,,
"Source: USCIS, data as of October 25, 2017. Notes:  All data are based on approved petitions during the fiscal year. Petitions approved in a fiscal year may be filed in previous fiscal years.  Per USCIS best practices, units of less than 10 beneficiaries are masked so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system. Average salary is based on data reported by the petitioner in the petition and may include part-time employment. Because USCIS data systems do not include hours worked, we are unable to identify salaries earned from part-time employment. In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty. The letter H replaces the value in the total column where one could deduce the value of D. Employers without tax identification numbers in our system were excluded. ",,,,,,
Employer Tax Number (last 4 digits), Employer Name ,Total Number of Approved Petitions, Average Salary ($) ,Beneficiaries' Degree/Diploma,,
0411,RUSSELL WILLIAMS LLC, D ," 53,009 ",Master's, D ,
2669,PRIME HEALTHCARE SVCS PROVIDEN, D ," 222,133 ",Professional Degree, D ,
 , ,   ,   ,Master's, D ,
9906,TROOLY INC, D ," 103,333 ",Master's, D ,
0740,PEEKABUY INC, D ," 115,360 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
6642,EVERSTREAM SOLUTIONS INC, D ," 69,667 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
6526,MINDPROS INC, D ," 94,000 ",Bachelor's, D ,
7976,EPIQ INFOTECH LLC, D ," 92,721 ",Bachelor's, D ,
0742,WAVICLE DATA SOLUTIONS LLC, D ," 106,861 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
2659,MAPBOX INC, D ," 126,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0060,DIAMANTI INC, D ," 171,667 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
8631,KAVYOS CONSULTING INC, D ," 120,000 ",Bachelor's, D ,
 , ,   ,   ,Some College Credits, D ,
9331,TANGIBLE PLAY INC, D ," 120,667 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4194,EMINENT INC DBA REVOLVE CLOTHI, D ," 138,000 ",Master's, D ,
8672,PINTEGRA LLC, D ," 80,667 ",Master's, D ,
6720,INTELLIGRATED SOFTWARE LLC, D ," 85,850 ",Master's, D ,
4006,CITIMEDICAL I PLLC, D ," 68,667 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
4848,OMNITRACS LLC, D ," 111,386 ",Bachelor's, D ,
4087,MERITIOUS SERVICES INC, D ," 63,333 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0882,WESTFIELD RETAIL SOLUTIONS INC, D ," 170,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7574,CYBYTE INC, D ," 67,268 ",Master's, D ,
7871,TEXARA SOLUTIONS LLC, D ," 93,333 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
7706,HDNS GROUP INC, D ," 81,242 ",Bachelor's, D ,
5968,VARIYAS GLOBAL SOLUTIONS INC, D ," 73,333 ",Master's, D ,
4292,AVALON SOFTWARE SERVICES LLC, D ," 81,667 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9099,DEXTER SYSTEMS INC, D ," 82,000 ",Bachelor's, D ,
2720,OHIO DENTAL ASSO JUDGE INC, D ," 99,692 ",Professional Degree, D ,
5811,JONES COUNTY REGIONAL HEALTHCA, D ," 43,340 ",Bachelor's, D ,
5963,KLINEXA INC, D ," 54,133 ",Bachelor's, D ,
5069,CLARI INC, D ," 126,667 ",Master's, D ,
3223,COREOS INC, D ," 108,333 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
3189,DISTRICT OF COLUMBIA INTL SCHO, D ," 59,847 ",Master's, D ,
4304,ENSON TRADING LLC, D ," 48,819 ",Master's, D ,
7668,SHAREABLEE INC, D ," 57,600 ",Master's, D ,
9358,VARIO CORP, D ," 43,429 ",Master's, D ,
3561,MRCC TECHFORZA CORP, D ," 88,012 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0109,VAAZU LLC, D ," 77,933 ",Bachelor's, D ,
2519,ARCADIA DATA INC, D ," 116,500 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
3228,KUBAYRA INC, D ," 69,667 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
1667,AUTOMOTIVEMASTERMIND INC, D ," 156,667 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4974,COTIVITI LLC, D ," 103,360 ",Master's, D ,
3718,SPOTLINE INC, D ," 126,667 ",Bachelor's, D ,
3263,OASIS IT CORP, D ," 70,000 ",Master's, D ,
7586,HOSPITAL CARE GROUP PC, D ," 235,000 ",Professional Degree, D ,
2919,SPIKEIT GLOBAL SOLUTIONS INC, D ," 60,667 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
3886,HISUN PHARMACEUTICALS USA INC, D ," 32,787 ",Master's, D ,
5083,ACCESS BIO INC, D ," 47,275 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9070,RAPID CITY REGIONAL HOSP, D ," 129,640 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
 , ,   ,   ,Professional Degree, D ,
1249,CREATIVE SOFTWARE SOLUTIONS LL, D ," 83,955 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
0346,MR X GOTHAM LLC, D ," 71,500 ",Bachelor's, D ,
0807,GLOBULE-TECH LLC, D ," 74,031 ",Master's, D ,
4865,TECHPRO IT SOLUTIONS INC, D ," 67,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
2314,HYUNDAI AUTOEVER TELEMATICS AM, D ," 109,764 ",Bachelor's, D ,
0305,FAYETTE PHYSICIAN NETWORK INC, D ," 276,667 ",Professional Degree, D ,
2645,KOVAN TECHNOLOGY SOLUTIONS LLC, D ," 61,667 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7815,SWAPSTECH INC, D ," 138,333 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0907,ALVEO ENERGY INC, D ," 95,667 ",Master's, D ,
8587,SKYWALK GLOBAL LLC, D ," 65,333 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
5826,HEALTHCARE BUSINESS INTELLIGEN, D ," 156,000 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
1585,WISE MEN SOLUTIONS LLC, D ," 86,667 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
7634,HANDY TECHNOLOGIES INC, D ," 106,667 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
0554,IBPORT INC, D ," 53,401 ",Master's, D ,
1668,CLEVER INC, D ," 118,333 ",Bachelor's, D ,
6763,MOXTRA INC, D ," 124,036 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
4920,POZENT CORPORATION, D ," 59,835 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
0781,CYLANCE INC, D ," 102,750 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
0104,VETERANS EZ INFO INC, D ," 92,234 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
7390,MID STATE PHYSICIANS LLP, D ," 241,740 ",Professional Degree, D ,
3364,PARETO SYSTEMS LLC, D ," 84,000 ",Bachelor's, D ,
6475,GATEWAYS REHABILITATION SVCS L, D ," 59,802 ",Master's, D ,
 , ,   ,   ,Professional Degree, D ,
7792,ARVYN TECHNOLOGIES INC, D ," 76,667 ",Bachelor's, D ,
7390,INDIGO BEAM LLC, D ," 109,000 ",Bachelor's, D ,
7510,S&B PHARMA INC D/B/A ALKEM LAB, D ," 112,917 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
8486,ADAMAS INC, D ," 63,333 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4083,AXONICS MODULATION TECHNOLOGIE, D ," 126,667 ",Master's, D ,
3477,RJTECHGLOBAL INC, D ," 73,364 ",Bachelor's, D ,
1083,RKTEK LLC, D ," 82,952 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
7229,OPTOKEY INC, D ," 65,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4136,SYMBOLIC IO CORPORATION, D ," 115,833 ",Master's, D ,
 , ,   ,   ,Doctorate, D ,
5352,TREMUS INC DBA SELFSCORE INC, D ," 132,333 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
5466,MAVIN TECHNOLOGIES INC, D ," 92,000 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
7959,GTRANSIT SOLUTIONS LLC, D ," 80,000 ",Bachelor's, D ,
5093,EATSTREET INC, D ," 73,167 ",Master's, D ,
5289,SMART SOURCE USA LLC, D ," 61,518 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
7288,ARTHA DATA SOLUTIONS LLC D B A, D ," 65,000 ",Master's, D ,
6899,CENTRAL POINT PARTNERS, D ," 87,242 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
6515,PROCUREMENT ADVISORS LLC, D ," 74,000 ",Master's, D ,
2297,US SOFT LLC, D ," 60,000 ",Master's, D ,
0206,GLOBALSOFT INC, D ," 131,667 ",Bachelor's, D ,
0015,PROSIS TECHNOLOGIES INC, D ," 99,333 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
6578,NETSPEED SYSTEMS INC, D ," 119,178 ",Master's, D ,
9976,MARS INFOTECH INC, D ," 82,250 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9486,SPANIDEA SYSTEMS LLC, D ," 100,097 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9734,TECH PROFY INC, D ," 60,010 ",Master's, D ,
0179,KEYPATH EDUCATION LLC, D ," 105,286 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9386,LEVERAGE RESEARCH INC, D ," 45,878 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
5705,COLLABRIUM SYSTEMS LLC, D ," 80,000 ",Bachelor's, D ,
5208,AMERICAN SCHOLAR LTD, D ," 33,341 ",Bachelor's, D ,
1048,EMPOWER MICRO SYSTEMS INC, D ," 93,623 ",Master's, D ,
 , ,   ,   ,Doctorate, D ,
7349,AMPLITUDE INC, D ," 166,667 ",Master's, D ,
6907,FLURISH INC DBA LENDUP, D ," 140,000 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
2041,AKNISH TECHNOLOGIES CORPORATIO, D ," 106,468 ",Master's, D ,
6939,IMPOSSIBLE FOODS INC, D ," 102,667 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
7487,VISH CONSULTING SERVICES INC, D ," 68,415 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
7179,SUPER LUCKY CASINO INC, D ," 130,333 ",Bachelor's, D ,
1064,SERVICELINK MANAGEMENT COMPANY, D ," 89,944 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
1183,COFFEE MEETS BAGEL INC, D ," 158,333 ",Master's, D ,
8576,CRMIT SOLUTIONS INC, D ," 69,500 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
1164,ATRI SOFTECH INC, D ," 70,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
3370,AARKAY CONSULTING INC, D ," 68,867 ",Master's, D ,
2601,AVISO INC, D ," 119,733 ",Master's, D ,
6448,OMNIBUILD CONSTRUCTION INC, D ," 70,000 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
0715,SAINT PETERS HEALTH PARTNERS, D ," 92,233 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4884,PAVILION DATA SYSTEMS INC, D ," 131,667 ",Master's, D ,
6568,KODING INC, D ," 150,000 ",Bachelor's, D ,
 , ,   ,   ,Doctorate, D ,
6468,QUBOLE INC, D ," 156,667 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9336,CAMBIUM NETWORKS INC, D ," 92,779 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
5639,CROWDSTRIKE INC, D ," 145,667 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
7510,FLARE INDUSTRIES LLC, D ," 82,905 ",Master's, D ,
3312,TRUSTED PATTERNS INC DBA SIGNI, D ," 121,667 ",Master's, D ,
 , ,   ,   ,Doctorate, D ,
2026,ITEAM INC, D ," 60,000 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
9051,HT MULTINATIONAL INC DBA HT IN, D ," 27,213 ",Master's, D ,
5594,SPINO INC, D ," 60,000 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
7335,NUANZA INC, D ," 82,667 ",Master's, D ,
2822,QVENTUS INC, D ," 129,050 ",Master's, D ,
2423,PRO SOFTWARE CONS SVCS (PSCS), D ," 89,771 ",Master's, D ,
6502,PROLOGIX SOLUTIONS INC, D ," 101,667 ",Master's, D ,
7649,THE CARTER G WOODSON SCHOOL, D ," 37,333 ",Bachelor's, D ,
5121,UCI GR OF HEALTHCARE SVCS INC, D ," 61,069 ",Bachelor's, D ,
9334,A4SOFTECH LLC, D ," 61,500 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
8687,JOBSOHIO, D ," 74,417 ",Master's, D ,
6877,MENTOUR CORPORATION, D ," 68,300 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
3829,COGENT HEALTHCARE OF MISSOURI, D ," 240,413 ",Professional Degree, D ,
9169,DVG TECH SOLUTIONS LLC, D ," 88,333 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
2837,TEJAS TUBULAR PRODUCTS INC, D ," 86,800 ",Master's, D ,
6271,APPTHORITY INC, D ," 116,728 ",Master's, D ,
4553,SREE SYSTEMS LLC, D ," 68,333 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
2506,TREASURE DATA INC, D ," 128,333 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
3115,GLOBE 2 TECHNOLOGIES INC, D ," 75,333 ",Bachelor's, D ,
3008,CTEL INC, D ," 74,707 ",Master's, D ,
0570,JACK STEPHENS HEART INSTITUTE, D ," 245,000 ",Professional Degree, D ,
4313,SIFT SCIENCE INC, D ," 130,000 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
1988,REMITLY INC, D ," 116,667 ",Master's, D ,
4394,28 INC, D ," 82,590 ",Master's, D ,
2789,THE KASEN LAW FIRM PLLC, D ," 41,637 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
9394,NORTH OAKS PHYSICIAN GROUP L L, D ," 136,000 ",Professional Degree, D ,
0792,PEN SOFTWARE INC, D ," 101,667 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
2077,ENIHCEM LLC, D ," 58,833 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
8358,CHINA MOBILE INTERNATIONAL INC, D ," 76,573 ",Master's, D ,
5174,NESHER PHARMACEUTICALS USA LLC, D ," 100,300 ",Master's, D ,
 , ,   ,   ,Doctorate, D ,
1746,SV PROFESSIONALS LLC, D ," 61,333 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
5427,EVOLUTYZ CORP, D ," 86,083 ",Master's, D ,
5640,LIBERTY MUTUAL GROUP ASSET MGT, D ," 128,333 ",Master's, D ,
0415,MOAT INC, D ," 90,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
5935,SCIECURE PHARMA INC, D ," 56,733 ",Master's, D ,
8251,RANA DEVELOPMENT INC, D ," 82,097 ",Master's, D ,
9908,MORTENSON FAMILY DENTAL HOLDIN, D ," 124,986 ",Professional Degree, D ,
 , ,   ,   ,Doctorate, D ,
6227,DETROIT LABS LLC, D ," 77,513 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
4932,MICHIGAN HEALTHCARE PROFESSION, D ," 244,167 ",Professional Degree, D ,
2930,V SOFT SOLUTIONS INC, D ," 83,500 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
9751,BENEFIT STREET PARTNERS LLC, D ," 117,667 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
8440,EPICOR SOFTWARE CORPORATION, D ," 95,811 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7134,MAK TECHNOLOGIES LLC, D ," 63,833 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
4222,THE REALREAL INC, D ," 95,500 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
2428,YUPANA LLC, D ," 80,350 ",Bachelor's, D ,
4776,CANOESYS INC, D ," 77,872 ",Master's, D ,
0401,LEANSWIFT SOLUTIONS INC, D ," 80,333 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
3822,USMLEWORLD LLC, D ," 114,067 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
5431,INSIDERSREFERRAL.COM INC, D ," 91,667 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
1483,BLUE FIRE CAPITAL LLC, D ," 86,667 ",Master's, D ,
4161,ARCHETYPE CONSULTING INC, D ," 107,000 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
6657,DICE TECHNOLOGIES INC, D ," 88,667 ",Bachelor's, D ,
3852,BIORASI LLC, D ," 70,037 ",Bachelor's, D ,
9107,SALEM INFOTECH INC, D ," 91,603 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
5014,ELECTRIC CLOUD INC, D ," 173,049 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0688,WEST RIVER HEALTH SERVICES, D ," 54,683 ",Bachelor's, D ,
0156,MOORE ENGINEERING INC, D ," 67,817 ",Master's, D ,
 , ,   ,   ,Doctorate, D ,
3403,UNIVERSITY OF MARY, D ," 55,764 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
7012,CHI MERCY HOSPITAL, D ," 29,007 ",Bachelor's, D ,
6429,CHI ST JOSEPH S HEALTH, D ," 42,374 ",Bachelor's, D ,
8347,CAMERON REGIONAL MEDICAL CENTE, D ," 117,935 ",Bachelor's, D ,
 , ,   ,   ,Professional Degree, D ,
3039,MARTINREA METAL INDUSTRIES INC, D ," 86,350 ",Master's, D ,
8641,PROSPECT ADMINISTRATION LLC, D ," 71,167 ",Master's, D ,
 , ,   ,   ,Professional Degree, D ,
0202,ALCHEMY SYSTEMS LP, D ," 92,333 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
3112,CSXPERTS LLC, D ," 71,667 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
8265,ON LINE TAXES INC, D ," 74,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
5999,JUPITER CONSULTING SERVICES LL, D ," 89,667 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
1446,EMERSON PROCESS MGT POWER & WA, D ," 117,063 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
8495,NETEFFECTS INC, D ," 123,018 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
5110,OBJECT COMPUTING INC, D ," 95,000 ",Master's, D ,
 , ,   ,   ,Doctorate, D ,
8412,VML INC, D ," 69,821 ",Master's, D ,
7558,BJC HEALTH SYSTEM, D ," 81,887 ",Master's, D ,
5766,MAVERICK TUBE CORPORATION, D ," 84,957 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9079,CLAYCO INC, D ," 74,792 ",Master's, D ,
5088,AFTON CHEMICAL CORPORATION, D ," 105,033 ",Doctorate, D ,
9725,TRANSYSTEMS CORPORATION, D ," 60,113 ",Master's, D ,
3540,MISSOURI SOUTHERN STATE UNIVER, D ," 57,414 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
7806,VA SAINT LOUIS HEALTH CARE SYS, D ," 290,000 ",Professional Degree, D ,
5867,COLUMBIA COLLEGE, D ," 52,771 ",Master's, D ,
4870,ST LOUIS CHILDREN S HOSP, D ," 129,656 ",Professional Degree, D ,
 , ,   ,   ,Master's, D ,
2649,LINDENWOOD FEMALE COLLEGE, D ," 53,921 ",Master's, D ,
3449,MISSOURI DELTA MED CTR, D ," 263,333 ",Professional Degree, D ,
0580,NESTLE PURINA PETCARE COMPANY, D ," 112,521 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
6250,A T STILL UNIV OF HEALTH SCIEN, D ," 72,421 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
8130,BEMIS COMPANY INC, D ," 89,340 ",Bachelor's, D ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Master's, D ,
2560,BARRY WEHMILLER COMPANIES INC, D ," 80,531 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7892,WASHINGTON COUNTY HOSP & CLINI, D ," 46,186 ",Bachelor's, D ,
5819,CLARINDA MUNICIPAL HOSP D/B/A, D ," 48,387 ",Bachelor's, D ,
0149,FEDERAL HOME LOAN BANK OF DES, D ," 78,333 ",Master's, D ,
 , ,   ,   ,Doctorate, D ,
2808,MICROSOFT CORPORATION, D ," 120,347 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7328,ABN AMRO HOLDINGS USA LLC, D ," 122,509 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
6992,BLU AGE CORPORATION, D ," 70,667 ",Master's, D ,
8901,ELITE RESEARCH LLC, D ," 38,203 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
8847,GENESIS HEALTH SYSTEM, D ," 205,667 ",Professional Degree, D ,
4494,THE WITTERN GROUP INC, D ," 89,515 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
1455,CAMBREX CHARLES CITY INC, D ," 94,830 ",Master's, D ,
 , ,   ,   ,Doctorate, D ,
0758,STANLEY CONSULTANTS INC, D ," 106,024 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
6012,STUEVE CONSTRUCTION LLC, D ," 55,000 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
9512,MCFARLAND CLINIC PC, D ," 156,383 ",Professional Degree, D ,
 , ,   ,   ,Doctorate, D ,
0796,WELLS ENTERPRISES INC, D ," 87,546 ",Master's, D ,
8988,SABRE COMMUNICATIONS CORP DBA, D ," 65,660 ",Master's, D ,
3209,COSMA CASTING MI A DIV OF DIEO, D ," 86,465 ",Master's, D ,
3280,ST AMBROSE UNIV, D ," 67,805 ",Doctorate, D ,
0323,UNIVERSITY OF DUBUQUE, D ," 36,741 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
5088,GUIDEONE MUTUAL INSURANCE CO, D ," 95,400 ",Master's, D ,
0230,MEREDITH CORPORATION, D ," 85,996 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
7110,LENNOX INDUSTRIES INC, D ," 111,243 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4980,EMPLOYERS MUTUAL CASUALTY COMP, D ," 70,093 ",Master's, D ,
7792,INDEPENDENT SCHOOL DISTRICT 19, D ," 46,630 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
8142,APEX LOGISTICS INTL ORD INC, D ," 39,457 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
5644,CELTRA INC, D ," 115,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4266,ACCELERATED INNOVATORS INC, D ," 90,000 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
6829,RAYTHEON BBN TECHNOLOGIES CORP, D ," 110,307 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
6103,KIMBERLY-CLARK GLOBAL SALES LL, D ," 111,266 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
5502,ARWANO INC, D ," 66,667 ",Master's, D ,
5127,SPS COMMERCE INC, D ," 112,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
2361,AMERICAN EXPRESS BANK FSB, D ," 90,639 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
1640,DIGITAL RIVER INC, D ," 79,500 ",Bachelor's, D ,
5898,NORGREN AUTOMATION SOLUTIONS L, D ," 74,596 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
4276,CHILDRENS HOSPITALS AND CLINIC, D ," 288,053 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
 , ,   ,   ,Professional Degree, D ,
4080,THIRD WAVE SYSTEMS INC, D ," 98,083 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
7970,QUMU CORPORATION, D ," 137,869 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
6933,FOLLETT SCHOOL SOLUTIONS INC, D ," 89,422 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
7685,IDOM INC, D ," 64,788 ",Master's, D ,
6075,ALLIANZ LIFE INS CO OF N AMERI, D ," 105,736 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
0221,ENCLOS CORP, D ," 75,232 ",Master's, D ,
0894,RESEARCH & DIAGNOSTIC SYSTEMS, D ," 78,135 ",Master's, D ,
1318,THE TALBOTS INC, D ," 124,209 ",Bachelor's, D ,
5511,MINNESOTA TEACHERS RETIREMENT, D ," 80,306 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
0193,SICK INC, D ," 96,592 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
0297,ENTRUST DATACARD CORPORATION, D ," 95,968 ",Master's, D ,
8057,MTS SYSTEMS CORPORATION, D ," 105,747 ",Master's, D ,
 , ,   ,   ,Doctorate, D ,
0702,AFFILIATED COMMUNITY MED CTRS, D ," 230,600 ",Professional Degree, D ,
6238,FLEET WHOLESALE SUPPLY CO LLC, D ," 109,500 ",Bachelor's, D ,
6749,CLIFTONLARSONALLEN LLP, D ," 80,599 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4747,CARLETON COLLEGE, D ," 67,667 ",Doctorate, D ,
3977,CONCORDIA COLLEGE, D ," 96,360 ",Doctorate, D ,
8370,HB FULLER COMPANY, D ," 99,453 ",Master's, D ,
 , ,   ,   ,Doctorate, D ,
1095,CHS INC, D ," 94,700 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
2670,AEROTEC LLC, D ," 133,794 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
7917,ROBERT W BAIRD & CO INC, D ," 93,433 ",Master's, D ,
3457,MILWAUKEE BOARD OF SCH DIRECTO, D ," 46,374 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
4409,FROEDTERT HEALTH INC, D ," 114,025 ",Master's, D ,
7754,MANITOWOC FSG OPERATIONS LLC, D ," 91,206 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
8407,ITI OF NEBRASKA INC, D ," 116,570 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
5593,MINISTRY MEDICAL GROUP INC, D ," 272,834 ",Professional Degree, D ,
5872,INDIANA UNIVERSITY HEALTH INC, D ," 65,416 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
3308,TEAMSOFT INC, D ," 109,775 ",Master's, D ,
7281,AIR WISCONSIN AIRLINES CORP, D ," 27,081 ",Bachelor's, D ,
 , ,   ,   ,High School, D ,
 , ,   ,   ,Professional Degree, D ,
3129,IDL SOLUTIONS INC, D ," 112,915 ",Master's, D ,
3248,BATTERIES PLUS, D ," 108,970 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
9806,DIRECT SUPPLY INC, D ," 115,333 ",Master's, D ,
 , ,   ,   ,Doctorate, D ,
0953,IMMUCOR GTI DIAGNOSTICS INC, D ," 85,211 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
9196,ST NORBERT COLLEGE, D ," 66,778 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
9625,SPX TRANSFORMER SOLUTIONS INC, D ," 112,006 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
